,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
count,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
mean,-0.50301462982675,-0.9895465445945,-0.47047851978824995,0.9854779038585,0.5121179684932501,0.4982774280305,0.07687729571600001,0.501
std,1.9280586888549773,1.6025072141517562,1.9434406589204538,1.4027572042119607,1.9302856730942972,1.8744267757033413,2.110269636420917,0.5000615115951665
min,-7.151703059,-7.149847675,-6.894485494,-6.055057805,-5.961897048,-5.864598918,-7.010538475,0.0
25%,-1.816764527,-2.01177029275,-1.7384250625,0.06276439525000001,-0.80128581525,-0.7716768665,-1.3774240784999998,0.0
50%,-0.5137025125000001,-0.9847364865,-0.5047584635,0.9982494390000001,0.5342186584999999,0.5034447135,0.022608968,1.0
75%,0.8055264495000001,0.03097644,0.8019219209999999,1.8942342170000002,1.8359763875,1.76621164075,1.510492756,1.0
max,6.406366899,5.79071359,6.374915513,7.619851801,7.364402864,7.237836684,7.404736238,1.0
