,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
59,500,14.0,303,0.007968600024469197,"[1, 1, 0, 0, 0, 0, 0, 0]",100,0.5,500
60,0,3.0,150,0.0015090000815689564,"[0, 1, 0, 0, 0, 1, 0, 0]",150,0.1,500
61,100,14.0,453,0.012268300051800907,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.1,500
62,200,14.0,453,0.012268300051800907,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.1,500
63,300,14.0,453,0.012268300051800907,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.1,500
64,400,14.0,453,0.012268300051800907,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.1,500
65,500,14.0,453,0.012268300051800907,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.1,500
66,0,3.0,150,0.003042800002731383,"[0, 1, 0, 0, 0, 1, 0, 0]",150,0.2,500
67,100,14.0,453,0.02164599997922778,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.2,500
68,200,14.0,453,0.02164599997922778,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.2,500
69,300,14.0,453,0.02164599997922778,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.2,500
70,400,14.0,453,0.02164599997922778,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.2,500
71,500,14.0,453,0.02164599997922778,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.2,500
72,0,3.0,150,0.0013764000032097101,"[0, 1, 0, 0, 0, 1, 0, 0]",150,0.3,500
73,100,14.0,453,0.010536400019191206,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.3,500
74,200,14.0,453,0.010536400019191206,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.3,500
75,300,14.0,453,0.010536400019191206,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.3,500
76,400,14.0,453,0.010536400019191206,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.3,500
77,500,14.0,453,0.010536400019191206,"[0, 0, 1, 1, 1, 1, 1, 1]",150,0.3,500
78,0,3.0,150,0.0013725999742746353,"[0, 1, 0, 0, 0, 1, 0, 0]",150,0.4,500
79,100,14.0,453,0.010571800055913627,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.4,500
80,200,14.0,453,0.010571800055913627,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.4,500
81,300,14.0,453,0.010571800055913627,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.4,500
82,400,14.0,453,0.010571800055913627,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.4,500
83,500,14.0,453,0.010571800055913627,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.4,500
