,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
58,400,104.31347041678433,21508,1.4662195000055362,"[1, 5, 0, 6, 2, 3, 4, 7]",200,0.3,500
59,500,104.31347041678433,21508,1.4662195000055362,"[1, 5, 0, 6, 2, 3, 4, 7]",200,0.3,500
60,0,194.74016767734764,200,0.0035619999980553985,"[1, 5, 0, 7, 2, 4, 3, 6]",200,0.4,500
61,100,104.31347041678433,20302,1.782296800003678,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.4,500
62,200,104.31347041678433,21307,1.841117399999348,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.4,500
63,300,104.31347041678433,21307,1.841117399999348,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.4,500
64,400,104.31347041678433,21307,1.841117399999348,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.4,500
65,500,104.31347041678433,21307,1.841117399999348,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.4,500
66,0,194.74016767734764,200,0.006693500006804243,"[1, 5, 0, 7, 2, 4, 3, 6]",200,0.5,500
67,100,104.31347041678433,20302,1.7438840000031632,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.5,500
68,200,104.31347041678433,21709,1.8411609000031604,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.5,500
69,300,104.31347041678433,21709,1.8411609000031604,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.5,500
70,400,104.31347041678433,21709,1.8411609000031604,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.5,500
71,500,104.31347041678433,21709,1.8411609000031604,"[5, 1, 7, 4, 3, 2, 6, 0]",200,0.5,500
72,0,194.74016767734764,300,0.0055018000057316385,"[1, 5, 0, 7, 2, 4, 3, 6]",300,0.2,500
73,100,104.31347041678433,30402,2.503792900002736,"[4, 7, 1, 5, 0, 6, 2, 3]",300,0.2,500
74,200,104.31347041678433,31305,2.605685300004552,"[4, 7, 1, 5, 0, 6, 2, 3]",300,0.2,500
75,300,104.31347041678433,31305,2.605685300004552,"[4, 7, 1, 5, 0, 6, 2, 3]",300,0.2,500
76,400,104.31347041678433,31305,2.605685300004552,"[4, 7, 1, 5, 0, 6, 2, 3]",300,0.2,500
77,500,104.31347041678433,31305,2.605685300004552,"[4, 7, 1, 5, 0, 6, 2, 3]",300,0.2,500
78,0,194.74016767734764,300,0.010089800001878757,"[1, 5, 0, 7, 2, 4, 3, 6]",300,0.3,500
79,100,104.31347041678433,30402,2.77085509999597,"[3, 2, 6, 0, 5, 1, 7, 4]",300,0.3,500
80,200,104.31347041678433,31004,2.841246799995133,"[3, 2, 6, 0, 5, 1, 7, 4]",300,0.3,500
81,300,104.31347041678433,31004,2.841246799995133,"[3, 2, 6, 0, 5, 1, 7, 4]",300,0.3,500
82,400,104.31347041678433,31004,2.841246799995133,"[3, 2, 6, 0, 5, 1, 7, 4]",300,0.3,500
